Age,AgeGroup,Department,JobRole,Gender,MaritalStatus,OverTime,MonthlyIncome,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,YearsAtCompany,YearsSinceLastPromotion,TotalWorkingYears,JobLevel,BusinessTravel,Attrition,AttritionBinary,Cluster,ClusterLabel
32,26-35,Research & Development,Research Scientist,Female,Single,Yes,3919,1,2,3,1,10,6,10,1,Travel_Frequently,Yes,1,2,Burnt-Out & Overworked
42,36-45,Sales,Sales Executive,Male,Married,No,6825,2,3,3,3,9,4,10,2,Travel_Rarely,No,0,1,Loyal Mid-Career
44,36-45,Research & Development,Healthcare Representative,Female,Married,No,10248,4,1,3,2,22,5,24,3,Travel_Rarely,No,0,0,Stable Senior
46,46-55,Sales,Manager,Female,Single,No,18947,1,2,2,3,2,2,22,5,Travel_Rarely,No,0,0,Stable Senior
33,26-35,Research & Development,Laboratory Technician,Male,Single,No,2496,4,3,3,3,1,0,7,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
44,36-45,Research & Development,Healthcare Representative,Male,Married,Yes,6465,4,4,4,3,4,1,9,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
30,26-35,Research & Development,Laboratory Technician,Male,Single,No,2206,3,4,3,2,10,1,10,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
39,36-45,Sales,Sales Representative,Male,Married,No,2086,4,4,4,3,1,0,19,2,Travel_Rarely,Yes,1,1,Loyal Mid-Career
24,18-25,Research & Development,Research Scientist,Male,Married,Yes,2293,4,2,2,3,2,2,6,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
43,36-45,Research & Development,Research Scientist,Female,Divorced,No,2645,3,4,2,4,5,1,6,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
50,46-55,Sales,Sales Representative,Male,Married,Yes,2683,3,1,3,2,3,0,3,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
35,26-35,Sales,Sales Representative,Female,Married,No,2014,4,4,3,3,2,2,2,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
36,36-45,Research & Development,Research Scientist,Female,Married,Yes,3419,1,2,4,2,1,0,6,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
33,26-35,Sales,Sales Executive,Female,Married,No,5376,1,3,3,4,5,1,10,2,Travel_Frequently,No,0,3,At-Risk Mid-Level
35,26-35,Research & Development,Laboratory Technician,Male,Divorced,No,1951,4,3,3,3,1,0,1,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
27,26-35,Research & Development,Laboratory Technician,Female,Divorced,No,2341,1,4,3,3,1,0,1,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
26,26-35,Research & Development,Laboratory Technician,Male,Single,No,2293,3,1,2,1,1,0,1,1,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
27,26-35,Sales,Sales Executive,Male,Single,No,8726,3,4,3,3,9,1,9,3,Travel_Frequently,No,0,1,Loyal Mid-Career
30,26-35,Research & Development,Laboratory Technician,Female,Single,No,4011,4,3,3,3,12,3,12,2,Travel_Frequently,No,0,1,Loyal Mid-Career
41,36-45,Research & Development,Research Director,Female,Married,No,19545,3,2,3,3,22,15,23,5,Travel_Rarely,Yes,1,0,Stable Senior
34,26-35,Sales,Sales Executive,Male,Single,No,4568,3,2,3,3,9,8,10,2,Non-Travel,No,0,1,Loyal Mid-Career
37,36-45,Research & Development,Research Scientist,Male,Married,No,3022,2,2,3,3,1,0,8,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
46,46-55,Sales,Sales Executive,Male,Single,Yes,5772,4,1,3,3,9,0,14,2,Travel_Frequently,No,0,2,Burnt-Out & Overworked
35,26-35,Research & Development,Laboratory Technician,Male,Married,No,2269,4,4,3,4,1,0,1,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
48,46-55,Research & Development,Laboratory Technician,Male,Single,Yes,5381,3,1,3,2,1,0,23,3,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
28,26-35,Research & Development,Laboratory Technician,Male,Single,Yes,3441,3,3,2,3,2,2,2,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
44,36-45,Sales,Sales Executive,Female,Divorced,Yes,5454,1,2,2,3,4,1,9,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
35,26-35,Research & Development,Healthcare Representative,Male,Married,Yes,9884,1,3,3,2,4,2,10,3,Non-Travel,No,0,2,Burnt-Out & Overworked
26,26-35,Sales,Sales Executive,Female,Married,Yes,4157,4,3,2,2,2,0,5,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
33,26-35,Research & Development,Research Director,Female,Single,Yes,13458,4,1,3,3,15,8,15,3,Travel_Frequently,No,0,0,Stable Senior
35,26-35,Sales,Sales Executive,Male,Married,No,9069,1,2,2,3,9,1,9,3,Travel_Frequently,No,0,1,Loyal Mid-Career
35,26-35,Research & Development,Laboratory Technician,Female,Married,Yes,4014,1,3,3,3,2,2,4,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
31,26-35,Research & Development,Laboratory Technician,Male,Divorced,No,5915,4,4,2,3,7,1,10,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
37,36-45,Research & Development,Manufacturing Director,Male,Divorced,No,5993,3,1,4,2,7,0,7,2,Travel_Rarely,No,0,1,Loyal Mid-Career
32,26-35,Research & Development,Manufacturing Director,Male,Married,Yes,6162,4,1,3,3,9,7,9,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
38,36-45,Research & Development,Laboratory Technician,Female,Single,No,2406,4,4,3,3,10,9,10,2,Travel_Frequently,No,0,1,Loyal Mid-Career
50,46-55,Research & Development,Research Director,Female,Divorced,Yes,18740,3,2,2,2,27,13,29,5,Travel_Rarely,No,0,0,Stable Senior
59,56-65,Sales,Sales Executive,Female,Single,No,7637,1,1,2,3,21,7,28,3,Travel_Rarely,No,0,0,Stable Senior
36,36-45,Research & Development,Healthcare Representative,Female,Divorced,No,10096,3,3,3,3,17,12,17,3,Travel_Rarely,No,0,0,Stable Senior
55,46-55,Research & Development,Manager,Female,Divorced,Yes,14756,3,4,3,3,5,0,21,4,Travel_Rarely,No,0,0,Stable Senior
36,36-45,Research & Development,Manufacturing Director,Male,Single,No,6499,2,2,3,2,6,0,6,2,Travel_Frequently,No,0,3,At-Risk Mid-Level
45,36-45,Research & Development,Research Scientist,Male,Divorced,No,9724,1,2,3,3,1,0,25,3,Travel_Rarely,No,0,1,Loyal Mid-Career
35,26-35,Research & Development,Research Scientist,Male,Married,No,2194,1,2,2,3,3,1,5,1,Travel_Frequently,No,0,3,At-Risk Mid-Level
36,36-45,Research & Development,Research Scientist,Male,Married,Yes,3388,3,4,2,2,1,0,2,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
59,56-65,Sales,Sales Executive,Female,Single,No,5473,3,1,2,2,4,1,20,2,Travel_Frequently,No,0,1,Loyal Mid-Career
29,26-35,Research & Development,Research Scientist,Male,Married,No,2703,2,3,3,3,5,0,6,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
31,26-35,Research & Development,Research Scientist,Male,Single,No,2501,2,3,3,3,1,1,1,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
32,26-35,Research & Development,Research Scientist,Male,Married,No,6220,2,2,3,3,10,0,10,2,Travel_Rarely,No,0,1,Loyal Mid-Career
36,36-45,Research & Development,Laboratory Technician,Female,Married,No,3038,4,2,3,4,1,0,5,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
31,26-35,Research & Development,Manufacturing Director,Female,Single,No,4424,4,3,3,3,11,1,11,2,Travel_Rarely,No,0,1,Loyal Mid-Career
35,26-35,Sales,Sales Executive,Male,Single,No,4312,1,3,3,2,15,2,16,2,Travel_Rarely,No,0,1,Loyal Mid-Career
45,36-45,Research & Development,Research Director,Male,Married,Yes,13245,1,4,4,3,0,0,17,3,Travel_Rarely,No,0,2,Burnt-Out & Overworked
37,36-45,Research & Development,Research Director,Male,Single,No,13664,3,1,4,3,5,0,16,3,Travel_Rarely,No,0,1,Loyal Mid-Career
46,46-55,Human Resources,Human Resources,Male,Divorced,Yes,5021,2,2,3,3,4,0,16,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
30,26-35,Research & Development,Laboratory Technician,Male,Married,Yes,5126,4,4,2,2,10,3,10,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
35,26-35,Research & Development,Research Scientist,Male,Single,No,2859,3,2,3,2,6,0,6,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
55,46-55,Sales,Sales Executive,Male,Married,No,10239,4,1,3,3,1,1,24,3,Travel_Rarely,No,0,1,Loyal Mid-Career
38,36-45,Research & Development,Research Scientist,Female,Divorced,Yes,5329,4,2,3,1,13,1,17,2,Non-Travel,No,0,2,Burnt-Out & Overworked
34,26-35,Research & Development,Manufacturing Director,Male,Married,No,4325,2,1,3,3,5,1,5,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
56,56-65,Research & Development,Manufacturing Director,Male,Single,No,7260,4,4,2,1,6,0,37,3,Travel_Rarely,No,0,0,Stable Senior
23,18-25,Sales,Sales Representative,Male,Divorced,No,2322,1,3,3,3,0,0,3,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
51,46-55,Research & Development,Laboratory Technician,Male,Married,No,2075,4,4,3,3,4,0,10,1,Travel_Rarely,No,0,1,Loyal Mid-Career
30,26-35,Research & Development,Healthcare Representative,Male,Married,No,4152,4,3,3,2,11,10,11,2,Travel_Rarely,No,0,1,Loyal Mid-Career
46,46-55,Sales,Sales Executive,Male,Single,No,9619,4,3,3,2,9,4,9,3,Travel_Rarely,Yes,1,1,Loyal Mid-Career
40,36-45,Research & Development,Healthcare Representative,Male,Married,No,13503,2,3,2,2,22,11,22,4,Travel_Frequently,No,0,0,Stable Senior
51,46-55,Sales,Sales Executive,Male,Single,Yes,5441,4,3,1,3,10,1,11,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
30,26-35,Sales,Sales Executive,Female,Divorced,Yes,5209,2,3,2,2,11,2,11,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
46,46-55,Research & Development,Healthcare Representative,Male,Married,Yes,10673,1,3,2,2,10,9,21,3,Travel_Frequently,No,0,0,Stable Senior
32,26-35,Sales,Sales Executive,Male,Single,No,5010,3,2,3,3,11,5,12,2,Travel_Rarely,No,0,1,Loyal Mid-Career
54,46-55,Research & Development,Research Director,Female,Married,No,13549,3,1,1,3,4,0,16,3,Travel_Rarely,No,0,1,Loyal Mid-Career
24,18-25,Sales,Sales Executive,Female,Married,No,4999,3,1,2,3,3,0,4,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
28,26-35,Sales,Sales Executive,Male,Married,No,4221,3,2,4,3,5,0,5,2,Non-Travel,No,0,3,At-Risk Mid-Level
58,56-65,Sales,Sales Executive,Male,Single,No,13872,3,4,2,3,37,1,38,4,Travel_Rarely,No,0,0,Stable Senior
44,36-45,Research & Development,Laboratory Technician,Male,Married,No,2042,2,2,4,3,3,1,17,2,Non-Travel,No,0,1,Loyal Mid-Career
37,36-45,Human Resources,Human Resources,Male,Divorced,Yes,2073,1,3,3,3,3,0,7,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
32,26-35,Research & Development,Research Scientist,Male,Single,No,2956,1,4,3,3,1,0,1,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
20,18-25,Research & Development,Laboratory Technician,Female,Single,Yes,2926,4,4,3,2,1,1,1,1,Travel_Frequently,Yes,1,2,Burnt-Out & Overworked
34,26-35,Research & Development,Research Scientist,Female,Single,No,4809,3,1,3,3,16,2,16,2,Travel_Rarely,No,0,1,Loyal Mid-Career
37,36-45,Research & Development,Healthcare Representative,Male,Divorced,No,5163,4,3,4,2,1,0,17,2,Non-Travel,No,0,1,Loyal Mid-Career
59,56-65,Human Resources,Manager,Female,Married,No,18844,4,3,3,2,3,2,30,5,Non-Travel,No,0,0,Stable Senior
50,46-55,Research & Development,Research Director,Female,Married,Yes,18172,2,1,2,3,8,0,28,5,Travel_Frequently,No,0,0,Stable Senior
25,18-25,Sales,Sales Executive,Male,Single,Yes,5744,3,3,3,2,6,0,6,2,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
25,18-25,Research & Development,Research Scientist,Male,Married,No,2889,4,4,3,2,2,2,2,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
22,18-25,Research & Development,Laboratory Technician,Female,Single,No,2871,4,2,3,3,0,0,1,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
51,46-55,Research & Development,Healthcare Representative,Female,Single,No,7484,1,1,2,2,13,12,23,3,Travel_Frequently,No,0,0,Stable Senior
34,26-35,Research & Development,Laboratory Technician,Male,Single,Yes,6074,3,1,3,1,9,0,9,2,Travel_Frequently,Yes,1,2,Burnt-Out & Overworked
54,46-55,Human Resources,Manager,Female,Single,Yes,17328,4,4,3,4,5,4,23,4,Non-Travel,No,0,0,Stable Senior
24,18-25,Research & Development,Laboratory Technician,Male,Married,No,2774,3,2,3,3,5,1,6,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
34,26-35,Research & Development,Research Scientist,Female,Divorced,No,4505,2,3,3,2,1,0,12,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
37,36-45,Sales,Sales Executive,Male,Single,No,7428,4,3,3,3,5,1,12,3,Travel_Rarely,No,0,1,Loyal Mid-Career
34,26-35,Research & Development,Manager,Female,Single,No,11631,1,3,3,2,11,5,14,3,Travel_Rarely,No,0,1,Loyal Mid-Career
36,36-45,Sales,Sales Executive,Female,Married,No,9738,4,2,3,3,9,2,10,3,Travel_Frequently,No,0,1,Loyal Mid-Career
36,36-45,Research & Development,Laboratory Technician,Female,Divorced,No,2835,4,1,3,3,1,0,7,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
43,36-45,Sales,Manager,Male,Married,Yes,16959,4,3,4,3,25,4,25,4,Travel_Frequently,No,0,0,Stable Senior
30,26-35,Research & Development,Research Scientist,Male,Divorced,No,2613,3,1,2,1,10,0,10,1,Travel_Frequently,No,0,3,At-Risk Mid-Level
33,26-35,Sales,Sales Executive,Male,Married,No,6146,2,3,4,3,7,0,8,2,Non-Travel,No,0,1,Loyal Mid-Career
56,56-65,Research & Development,Research Scientist,Female,Married,Yes,4963,2,2,3,3,5,4,7,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
51,46-55,Research & Development,Research Director,Male,Single,No,19537,3,1,3,3,20,15,23,5,Travel_Rarely,No,0,0,Stable Senior
31,26-35,Sales,Sales Executive,Male,Married,Yes,6172,3,2,2,1,7,7,12,2,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
26,26-35,Research & Development,Research Scientist,Female,Married,No,2368,2,3,2,2,5,4,5,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
58,56-65,Research & Development,Healthcare Representative,Female,Married,No,10312,4,4,2,3,40,15,40,3,Travel_Rarely,Yes,1,0,Stable Senior
19,18-25,Sales,Sales Representative,Male,Single,Yes,1675,3,4,2,3,0,0,0,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
22,18-25,Research & Development,Laboratory Technician,Male,Married,No,2523,4,3,3,3,2,2,3,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
49,46-55,Research & Development,Manufacturing Director,Female,Married,No,6567,1,3,2,3,15,5,16,2,Travel_Rarely,No,0,1,Loyal Mid-Career
43,36-45,Research & Development,Research Scientist,Female,Single,No,4739,3,2,3,4,3,1,18,1,Travel_Frequently,No,0,1,Loyal Mid-Career
50,46-55,Sales,Sales Executive,Female,Single,No,9208,4,3,3,3,2,2,16,3,Travel_Frequently,No,0,1,Loyal Mid-Career
31,26-35,Sales,Sales Executive,Female,Married,Yes,4559,3,2,3,1,2,2,4,2,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
41,36-45,Sales,Sales Executive,Male,Divorced,Yes,8189,3,3,3,3,9,0,12,3,Travel_Rarely,No,0,2,Burnt-Out & Overworked
26,26-35,Human Resources,Human Resources,Female,Married,No,2942,3,3,3,3,8,5,8,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
36,36-45,Research & Development,Manufacturing Director,Male,Divorced,No,4941,2,2,3,3,3,0,7,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
51,46-55,Research & Development,Manufacturing Director,Male,Single,No,10650,4,1,3,1,4,0,18,3,Travel_Frequently,Yes,1,1,Loyal Mid-Career
39,36-45,Sales,Sales Executive,Female,Married,No,5902,3,4,4,2,15,5,17,2,Travel_Rarely,No,0,1,Loyal Mid-Career
25,18-25,Sales,Sales Executive,Male,Married,No,8639,3,1,3,2,2,2,6,2,Travel_Rarely,No,0,3,At-Risk Mid-Level
30,26-35,Human Resources,Human Resources,Male,Married,Yes,6347,4,3,1,3,11,4,12,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
32,26-35,Research & Development,Laboratory Technician,Female,Single,No,4200,1,1,4,3,5,0,10,1,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
45,36-45,Research & Development,Research Scientist,Male,Single,No,3452,4,3,2,3,6,0,9,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
38,36-45,Research & Development,Research Scientist,Female,Single,Yes,4317,3,4,3,3,3,2,19,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
30,26-35,Research & Development,Research Scientist,Female,Single,No,2632,3,1,2,3,5,0,5,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
32,26-35,Sales,Sales Executive,Male,Divorced,No,4668,4,4,4,1,8,0,9,2,Travel_Frequently,No,0,1,Loyal Mid-Career
30,26-35,Research & Development,Research Scientist,Female,Divorced,No,3204,1,4,3,3,3,2,8,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
30,26-35,Research & Development,Laboratory Technician,Male,Single,No,2720,4,2,3,2,5,1,6,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
41,36-45,Research & Development,Manager,Male,Divorced,No,17181,1,4,2,2,7,7,21,4,Travel_Frequently,No,0,0,Stable Senior
41,36-45,Research & Development,Laboratory Technician,Male,Married,No,2238,1,3,3,3,5,1,7,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
19,18-25,Research & Development,Laboratory Technician,Female,Single,No,1483,2,2,3,3,1,0,1,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
40,36-45,Research & Development,Research Scientist,Female,Divorced,No,5605,2,2,3,3,20,2,20,2,Travel_Frequently,No,0,1,Loyal Mid-Career
35,26-35,Sales,Sales Executive,Male,Married,No,7295,2,3,3,3,10,0,10,3,Travel_Rarely,No,0,1,Loyal Mid-Career
53,46-55,Sales,Sales Representative,Male,Married,Yes,2306,3,2,1,3,7,4,13,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
45,36-45,Research & Development,Laboratory Technician,Male,Divorced,No,2348,2,2,1,3,17,0,20,2,Travel_Rarely,No,0,1,Loyal Mid-Career
32,26-35,Sales,Sales Executive,Female,Single,No,8998,4,2,3,3,9,3,9,3,Travel_Frequently,No,0,1,Loyal Mid-Career
29,26-35,Research & Development,Manufacturing Director,Male,Married,No,4319,3,4,3,3,10,0,10,2,Non-Travel,No,0,3,At-Risk Mid-Level
51,46-55,Research & Development,Manufacturing Director,Male,Married,No,6132,3,2,3,2,1,0,10,2,Travel_Rarely,No,0,1,Loyal Mid-Career
58,56-65,Research & Development,Research Scientist,Female,Married,Yes,3346,2,2,2,2,1,0,9,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
40,36-45,Sales,Sales Executive,Male,Married,No,10855,4,3,2,2,12,2,15,3,Travel_Rarely,No,0,1,Loyal Mid-Career
34,26-35,Sales,Sales Representative,Female,Married,No,2231,3,3,3,3,4,1,6,1,Travel_Frequently,No,0,3,At-Risk Mid-Level
22,18-25,Research & Development,Research Scientist,Male,Married,No,2323,4,3,3,3,2,2,2,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
27,26-35,Research & Development,Research Scientist,Male,Divorced,No,2024,2,4,1,3,2,2,6,1,Non-Travel,No,0,3,At-Risk Mid-Level
28,26-35,Research & Development,Research Scientist,Male,Married,No,2713,4,3,1,3,5,0,5,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
57,56-65,Research & Development,Healthcare Representative,Male,Divorced,Yes,9439,4,3,1,4,5,1,12,3,Travel_Rarely,No,0,2,Burnt-Out & Overworked
27,26-35,Research & Development,Research Scientist,Male,Divorced,Yes,2566,3,3,2,2,1,0,1,1,Non-Travel,No,0,2,Burnt-Out & Overworked
50,46-55,Research & Development,Manager,Female,Single,No,19926,2,3,3,3,5,4,21,5,Travel_Rarely,No,0,0,Stable Senior
41,36-45,Research & Development,Research Scientist,Male,Divorced,No,2451,3,1,3,3,9,1,13,1,Travel_Rarely,No,0,1,Loyal Mid-Career
30,26-35,Sales,Sales Executive,Female,Married,No,9419,4,2,3,3,10,7,12,3,Travel_Rarely,No,0,1,Loyal Mid-Career
38,36-45,Sales,Sales Executive,Female,Single,No,8686,4,1,4,2,8,0,12,2,Travel_Rarely,No,0,1,Loyal Mid-Career
32,26-35,Research & Development,Research Scientist,Male,Single,No,3038,3,3,3,3,5,1,8,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
27,26-35,Research & Development,Research Scientist,Male,Married,Yes,3058,2,3,2,3,5,1,6,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
19,18-25,Sales,Sales Representative,Female,Single,No,2325,1,3,4,1,0,0,1,1,Travel_Frequently,Yes,1,3,At-Risk Mid-Level
36,36-45,Research & Development,Laboratory Technician,Male,Single,No,2088,2,4,2,3,8,7,13,1,Travel_Frequently,No,0,1,Loyal Mid-Career
30,26-35,Research & Development,Laboratory Technician,Male,Divorced,No,3072,1,3,3,3,12,6,12,2,Non-Travel,No,0,1,Loyal Mid-Career
45,36-45,Sales,Sales Executive,Female,Divorced,Yes,5006,1,3,4,3,5,0,9,2,Travel_Rarely,No,0,2,Burnt-Out & Overworked
56,56-65,Research & Development,Research Scientist,Female,Divorced,Yes,4257,1,3,3,3,2,2,19,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
33,26-35,Research & Development,Research Scientist,Male,Single,No,2500,4,3,4,3,3,0,4,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
19,18-25,Research & Development,Laboratory Technician,Male,Single,No,1102,4,2,2,2,1,1,1,1,Travel_Rarely,Yes,1,3,At-Risk Mid-Level
46,46-55,Sales,Sales Executive,Female,Divorced,No,10453,1,2,3,3,24,15,24,3,Travel_Rarely,No,0,0,Stable Senior
38,36-45,Research & Development,Laboratory Technician,Female,Single,No,2288,4,3,3,3,2,2,2,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
31,26-35,Research & Development,Research Scientist,Female,Married,Yes,3929,4,3,3,3,4,0,7,1,Travel_Rarely,No,0,2,Burnt-Out & Overworked
34,26-35,Research & Development,Research Scientist,Female,Single,No,2311,2,4,3,3,3,1,9,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
41,36-45,Sales,Sales Representative,Female,Single,Yes,3140,2,2,2,3,4,0,4,1,Travel_Rarely,Yes,1,2,Burnt-Out & Overworked
50,46-55,Research & Development,Laboratory Technician,Male,Married,No,3690,3,3,2,2,3,0,5,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
53,46-55,Research & Development,Manufacturing Director,Female,Divorced,No,4450,1,4,3,4,4,1,5,2,Travel_Rarely,No,0,1,Loyal Mid-Career
33,26-35,Research & Development,Research Scientist,Female,Married,No,2756,2,4,3,3,8,1,8,1,Travel_Rarely,No,0,3,At-Risk Mid-Level
